WEAT,Performance Gap,Metric,Test,Embedding,Name
1.19112671,9.48,Precision,7,fastText,fasttext_all_tweets_processed_en.tsv.vectors
1.19112671,-6.15,Recall,7,fastText,fasttext_all_tweets_processed_en.tsv.vectors
0.12390526,9.48,Precision,8,fastText,fasttext_all_tweets_processed_en.tsv.vectors
0.12390526,-6.15,Recall,8,fastText,fasttext_all_tweets_processed_en.tsv.vectors
0.23439576,9.48,Precision,9,fastText,fasttext_all_tweets_processed_en.tsv.vectors
0.23439576,-6.15,Recall,9,fastText,fasttext_all_tweets_processed_en.tsv.vectors
0.56543814,9.48,Precision,6,fastText,fasttext_all_tweets_processed_en.tsv.vectors
0.56543814,-6.15,Recall,6,fastText,fasttext_all_tweets_processed_en.tsv.vectors
0.60507224,-0.89,Precision,7,fastText,fasttext_twitter_en_debias_6_max.txt.vectors
0.60507224,-2.87,Recall,7,fastText,fasttext_twitter_en_debias_6_max.txt.vectors
0.25296292,-0.89,Precision,8,fastText,fasttext_twitter_en_debias_6_max.txt.vectors
0.25296292,-2.87,Recall,8,fastText,fasttext_twitter_en_debias_6_max.txt.vectors
0.09802966,-0.89,Precision,9,fastText,fasttext_twitter_en_debias_6_max.txt.vectors
0.09802966,-2.87,Recall,9,fastText,fasttext_twitter_en_debias_6_max.txt.vectors
-0.3715108,-0.89,Precision,6,fastText,fasttext_twitter_en_debias_6_max.txt.vectors
-0.3715108,-2.87,Recall,6,fastText,fasttext_twitter_en_debias_6_max.txt.vectors
0.32550695,-0.48,Precision,7,fastText,fasttext_twitter_en_debias_6.txt.vectors
0.32550695,-3.45,Recall,7,fastText,fasttext_twitter_en_debias_6.txt.vectors
-0.118997,-0.48,Precision,8,fastText,fasttext_twitter_en_debias_6.txt.vectors
-0.118997,-3.45,Recall,8,fastText,fasttext_twitter_en_debias_6.txt.vectors
0.13814037,-0.48,Precision,9,fastText,fasttext_twitter_en_debias_6.txt.vectors
0.13814037,-3.45,Recall,9,fastText,fasttext_twitter_en_debias_6.txt.vectors
0.20897092,-0.48,Precision,6,fastText,fasttext_twitter_en_debias_6.txt.vectors
