Target Set 1,Target Set 2,Attribute Set 1,Attribute Set 2
Agustina,Shirley,caricia,abuso
Martina,Yamileth,libertad,choque
Josefa,Sharon,salud,suciedad
Antonia,Britney,amor,asesinato
Sofía,Maryori,paz,enfermedad
Isidora,Melody,animar,accidente
Cristóbal,Nayareth,amistad,muerte
Sebastián,Yaritza,cielo,sufrimiento
Agustín,Byron,lealtad,veneno
Alonso,Brian,placer,hedor
Joaquín,Jason,diamante,apestar
León,Malcon,gentil,ataque
Ignacio,Justin,honestidad,asalto
Julieta,Jeremy,suerte,desastre
Matilde,Jordan,arcoiris,odio
,Brayan,diploma,contaminación
,Yeison,regalo,tragedia
,Yeremi,honor,divorcio
,Bairon,milagro,cárcel
,Yastin,amanecer,pobreza
,,familia,fea
,,alegría,feo
,,felicidad,cáncer
,,risa,matar
,,paraíso,vómito
,,vacación,bomba
,,paz,maldad
,,maravilloso,podrido
,,maravillosa,podrida
,,,agonía
,,,terrible
,,,horrible
,,,guerra
,,,repugnante
